"id","code","name","url","product_selection","price","volume","images"
"42","10554401","Ichiro's Malt Mizunara Wood Reserve","/Land/Japan/Ichiro%27s-Malt-Mizunara-Wood-Reserve/p/10554401","Tilleggsutvalget","Kr 1 699,30","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/10554401-1.jpg"
"43","10554701","Ichiro's Malt Wine Wood Reserve","/Land/Japan/Ichiro%27s-Malt-Wine-Wood-Reserve/p/10554701","Bestillingsutvalget","Kr 1 699,30","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/10554701-1.jpg"
"44","10554601","Ichiro's Malt Double Distilleries","/Land/Japan/Ichiro%27s-Malt-Double-Distilleries/p/10554601","Tilleggsutvalget","Kr 1 699,30","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/10554601-1.jpg"
"45","12066401","Chichibu On The Way 2019","/Land/Japan/Chichibu-On-The-Way-2019/p/12066401","Spesialutvalg","Kr 3 422,50","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/12066401-1.jpg"
"46","10480401","Kura The Whisky Rum Cask Finish","/Land/Japan/Kura-The-Whisky-Rum-Cask-Finish/p/10480401","Bestillingsutvalget","Kr 999,90","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/10480401-1.jpg"
"47","12308001","Ichiro's Malt & Grain Limited Edition 2018","/Land/Japan/Ichiro%27s-Malt-%26-Grain-Limited-Edition-2018/p/12308001","Bestillingsutvalget","Kr 2 299,90","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/12308001-1.jpg"
"48","12434701","Nikka Yoichi Apple Brandy Finish","/Land/Japan/Nikka-Yoichi-Apple-Brandy-Finish/p/12434701","Spesialutvalg","Kr 2 500,40","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/12434701-1.jpg"
"49","12434801","Nikka Miyagikyo Apple Brandy Finish","/Land/Japan/Nikka-Miyagikyo-Apple-Brandy-Finish/p/12434801","Spesialutvalg","Kr 2 500,40","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/12434801-1.jpg"
"50","4977302","Nikka From The Barrel","/Land/Japan/Nikka-From-The-Barrel/p/4977302","Basisutvalget","Kr 509,90","0.5","https://bilder.vinmonopolet.no/cache/300x300-0/4977302-1.jpg"
"51","1975701","Nikka Coffey Grain","/Land/Japan/Nikka-Coffey-Grain/p/1975701","Basisutvalget","Kr 709,90","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/1975701-1.jpg"
